nombre,apellido,grado,ingreso,ruta_ingreso,salida,ruta_salida,acudiente_documento,acudiente_nombre,acudiente_apellido,acudiente_telefono,parentesco
Sofia,Romero,201,ruta,3,ruta,4,55331746,Ivan,Infante,3002818562,Hermano
Oscar,Lopez,202,ruta,4,ruta,4,26980232,Beatriz,Correa,3002475400,Hermana
Juan,Piedrahita,503,ruta,3,ruta,1,95837714,Camila,Campos,3007823974,Hermano
Mateo,Barrantes,502,ruta,2,acudiente,,31551867,Nelly,Ospina,3005348977,Tutor
Luis,Castillo,204,ruta,4,acudiente,,60608458,Manuela,Valencia,3001611811,Tia
Karina,Solis,201,ruta,4,ruta,3,32347913,Arturo,Ospina,3003466855,Abuelo
Mariana,Mora,201,acudiente,,acudiente,,16547758,Claudia,Acosta,3009072973,Hermano
Sebastian,Lopez,201,ruta,3,ruta,1,54215317,Sara,Murillo,3007276186,Abuela
Patricia,Moreno,503,ruta,3,acudiente,,18240818,Cesar,Ceballos,3009997410,Abuela
Gloria,Ramos,101,acudiente,,ruta,4,38091257,William,Paredes,3005704071,Tio
Beatriz,Alvarez,101,acudiente,,acudiente,,69990855,Juan,Cruz,3008434435,Tutor
Jaime,Campos,501,ruta,3,acudiente,,45387893,Aaron,Ruiz,3002875556,Hermana
Sebastian,Valencia,303,acudiente,,acudiente,,43221921,Nelly,Rivas,3008182573,Abuela
Lydia,Sanchez,202,acudiente,,acudiente,,21696722,Ruth,Avila,3004824995,Abuelo
Rafael,Ortiz,402,acudiente,,acudiente,,24136608,Rafael,Araya,3003701641,Tutor
Yolanda,Calderon,202,ruta,3,acudiente,,44979491,Jaime,Chavez,3003676893,Tia
Ivan,Martinez,202,acudiente,,ruta,3,53058445,Joel,Mora,3004652030,Madre
Raul,Miranda,201,acudiente,,acudiente,,83863885,Valentina,Orozco,3007455010,Tio
Andrea,Beltran,402,ruta,4,acudiente,,97272275,Estela,Tovar,3002362692,Abuelo
Gabriel,Morales,102,ruta,2,acudiente,,48804410,Claudia,Ortiz,3006957688,Hermana
Hugo,Correa,401,acudiente,,ruta,3,29093975,Leonardo,Ceballos,3008918494,Abuela
Sara,Jimenez,103,acudiente,,ruta,3,61278639,Hugo,Garcia,3007129775,Tio
Lorena,Miranda,302,ruta,3,ruta,4,62289891,Noelia,Sandoval,3006224357,Abuelo
Natalia,Avila,501,ruta,4,ruta,3,25601624,Carlos,Pena,3005926219,Madre
Joel,Londoño,501,acudiente,,acudiente,,14589015,Arturo,Guerrero,3002770366,Tio
Manuela,Cardona,102,acudiente,,ruta,1,72634382,Pablo,Sanchez,3001328207,Abuelo
Esperanza,Escobar,402,acudiente,,ruta,3,34182747,Luis,Barrantes,3009341280,Hermana
Jose,Barrantes,104,acudiente,,ruta,2,81841160,Tatiana,Beltran,3009358196,Tio
Daniel,Herrera,501,ruta,4,ruta,3,52967241,Samuel,Solano,3005598012,Abuelo
